state_code,state_name,lga_code,lga_name,lga_inec_id
27,OGUN,01,ABEOKUTA NORTH,562
27,OGUN,02,ABEOKUTA SOUTH,563
27,OGUN,03,ADO ODO-OTA,564
27,OGUN,04,EGBADO NORTH,565
27,OGUN,05,EGBADO SOUTH,566
27,OGUN,06,EWEKORO,567
27,OGUN,07,IFO,568
27,OGUN,08,IJEBU EAST,569
27,OGUN,09,IJEBU NORTH,570
27,OGUN,10,IJEBU NORTH EAST,571
27,OGUN,11,IJEBU ODE,572
27,OGUN,12,IKENNE,573
27,OGUN,13,IMEKO/AFON,574
27,OGUN,14,IPOKIA,575
27,OGUN,15,OBAFEMI/OWODE,576
27,OGUN,16,ODEDA,577
27,OGUN,17,ODOGBOLU,578
27,OGUN,18,OGUN WATER SIDE,579
27,OGUN,19,REMO NORTH,580
27,OGUN,20,SAGAMU,581
