state_code,state_name,lga_code,lga_name,ward_code,ward_name,pu_code,pu_delimitation,pu_name,pu_status,inec_lga_id,inec_ward_id,inec_pu_id
27,OGUN,01,ABEOKUTA NORTH,01,IKEREKU,001,27/01/01/001,O.U.S PRY. SCHOOL IKEREKU I,EXISTING PU,562,17263,339575
27,OGUN,01,ABEOKUTA NORTH,01,IKEREKU,002,27/01/01/002,O.U.S PRY. SCHOOL IKEREKU  II,EXISTING PU,562,17263,339576
27,OGUN,01,ABEOKUTA NORTH,01,IKEREKU,003,27/01/01/003,NEAR HOLY TRINITY CHURCH I,EXISTING PU,562,17263,339577
27,OGUN,01,ABEOKUTA NORTH,01,IKEREKU,004,27/01/01/004,NEAR HOLY TRINITY CHURCH II,EXISTING PU,562,17263,339578
27,OGUN,01,ABEOKUTA NORTH,01,IKEREKU,005,27/01/01/005,NEAR ITA OGBONI IDOMAPA I,EXISTING PU,562,17263,339579
27,OGUN,01,ABEOKUTA NORTH,01,IKEREKU,006,27/01/01/006,NEAR ITA OGBONI IDOMAPA II,EXISTING PU,562,17263,339580
27,OGUN,01,ABEOKUTA NORTH,01,IKEREKU,007,27/01/01/007,OJUDE AGBURIN,EXISTING PU,562,17263,339581
27,OGUN,01,ABEOKUTA NORTH,01,IKEREKU,008,27/01/01/008,NEAR AROWOREHIN MOSQUE II,EXISTING PU,562,17263,339582
27,OGUN,01,ABEOKUTA NORTH,01,IKEREKU,009,27/01/01/009,NEAR OKE ERI MOSQUE,EXISTING PU,562,17263,339583
27,OGUN,01,ABEOKUTA NORTH,01,IKEREKU,010,27/01/01/010,NEAR LASODE HOUSE I,EXISTING PU,562,17263,339584
27,OGUN,01,ABEOKUTA NORTH,01,IKEREKU,011,27/01/01/011,NEAR LASODE HOUSE II,EXISTING PU,562,17263,339585
27,OGUN,01,ABEOKUTA NORTH,01,IKEREKU,012,27/01/01/012,OPEN SPACE CLOSE TO THE AJANAKU'S,EXISTING PU,562,17263,339586
27,OGUN,01,ABEOKUTA NORTH,01,IKEREKU,013,27/01/01/013,"OPEN SPACE NEAR ITA OGBONI, IKEREKU",NEW PU,562,17263,339587
27,OGUN,01,ABEOKUTA NORTH,01,IKEREKU,014,27/01/01/014,"OPEN SPACE NEAR ALARAN MOSQUE, IKEREKU",NEW PU,562,17263,339588
27,OGUN,01,ABEOKUTA NORTH,01,IKEREKU,015,27/01/01/015,"OJUFEREWA SQUARE, AGO ODO.",NEW PU,562,17263,339589
27,OGUN,01,ABEOKUTA NORTH,02,IKIJA,001,27/01/02/001,NUD IKIJA  I,EXISTING PU,562,17264,339590
