state_code,state_name,lga_code,lga_name,ward_code,ward_name,ward_inec_id,polling_unit_count
27,OGUN,01,ABEOKUTA NORTH,01,IKEREKU,17263,15
27,OGUN,01,ABEOKUTA NORTH,02,IKIJA,17264,10
27,OGUN,01,ABEOKUTA NORTH,03,AGO OKO,17265,17
27,OGUN,01,ABEOKUTA NORTH,04,ELEGA,17266,20
27,OGUN,01,ABEOKUTA NORTH,05,ILUGUN/IBEREKODO,17267,34
27,OGUN,01,ABEOKUTA NORTH,06,GBAGURA,17268,13
27,OGUN,01,ABEOKUTA NORTH,07,IKA,17269,20
27,OGUN,01,ABEOKUTA NORTH,08,LAFENWA,17270,14
27,OGUN,01,ABEOKUTA NORTH,09,SABO,17271,32
27,OGUN,01,ABEOKUTA NORTH,10,OKE-AGO OWU,17272,17
27,OGUN,01,ABEOKUTA NORTH,11,TOTORO/SOKORI,17273,39
27,OGUN,01,ABEOKUTA NORTH,12,ITA-OSHIN/OLOMORE,17274,21
27,OGUN,01,ABEOKUTA NORTH,13,OLORUNDA IJALE,17275,17
27,OGUN,01,ABEOKUTA NORTH,14,IMALA - IDIEMI,17276,24
27,OGUN,01,ABEOKUTA NORTH,15,ISAGA ILEWO,17277,17
27,OGUN,01,ABEOKUTA NORTH,16,IBARA ORILE/ONISASA,17278,28
27,OGUN,02,ABEOKUTA SOUTH,01,AKE  I,17279,26
27,OGUN,02,ABEOKUTA SOUTH,02,AKE II,17280,35
27,OGUN,02,ABEOKUTA SOUTH,03,AKE  III,17281,29
27,OGUN,02,ABEOKUTA SOUTH,04,KEESI/EMERE,17282,31
27,OGUN,02,ABEOKUTA SOUTH,05,IJEMO,17283,23
27,OGUN,02,ABEOKUTA SOUTH,06,ITOKO,17284,16
27,OGUN,02,ABEOKUTA SOUTH,07,IJAYE/IDI-ABA,17285,45
27,OGUN,02,ABEOKUTA SOUTH,08,ERUNBE/OKE IJEUN,17286,26
27,OGUN,02,ABEOKUTA SOUTH,09,AGO-EGUN/IJESA,17287,38
27,OGUN,02,ABEOKUTA SOUTH,10,SODEKE/SALE-IJEUN  I,17288,10
27,OGUN,02,ABEOKUTA SOUTH,11,SODEKE/SALE-IJEUN  II,17289,27
27,OGUN,02,ABEOKUTA SOUTH,12,IMO/ISABO,17290,42
27,OGUN,02,ABEOKUTA SOUTH,13,IGBORE/AGO OBA,17291,27
27,OGUN,02,ABEOKUTA SOUTH,14,IBARA  I,17292,39
27,OGUN,02,ABEOKUTA SOUTH,15,IBARA  II,17293,31
27,OGUN,03,ADO ODO-OTA,01,OTA  I,17294,52
27,OGUN,03,ADO ODO-OTA,02,OTA  II,17295,52
